,sentence_id,words,labels
9786,809,Uchuy,B-LOC
7646,377,José,I-PER
1031,912,Hayt'ay,I-ORG
1017,878,',O
1831,1693,Kupa,I-ORG
4179,2159,",",O
9127,673,(,O
8429,531,1879-1946,O
8090,463,Sunch'upampa,B-ORG
5178,2356,',O
7371,326,Q'awa,I-ORG
7114,278,.,O
9911,832,sutichasqa,O
8184,483,2014,I-ORG
3357,2000,Antikuna,B-LOC
10456,936,Hatun,I-ORG
1207,1201,Chilipi,B-ORG
5046,2328,',O
11297,1097,Buliwya,I-LOC
11211,1081,Kutupaksi,B-ORG
11857,1210,Guzmán,I-PER
1404,1601,Chulumani,B-LOC
13717,1578,Hayt'ay,I-ORG
4934,2307,',O
1872,1702,llaqta,I-ORG
11523,1142,Sunturnin,I-ORG
9840,818,Chaku,I-LOC
7791,400,',O
4196,2162,Fàbregas,I-PER
1483,1630,Feira,I-ORG
10692,981,distritu,I-LOC
5359,2389,Campos,I-LOC
9574,762,",",O
11943,1229,),I-PER
9789,809,',O
12353,1308,),O
4188,2160,ferrocarril,O
7682,382,llaqta,I-ORG
6770,213,Kupa,I-ORG
13248,1484,Pachantin,I-ORG
524,2366,Kupa,I-ORG
11710,1184,Ziyang,I-PER
12229,1285,/,O
1920,1712,Pachantin,I-ORG
6811,220,Pachantin,I-ORG
9233,692,Augusto,B-PER
6134,91,sallqa,I-ORG
314,1955,chayqa,O
2182,1763,',O
4224,2168,Pachakutinapaq,I-ORG
2153,1759,Kupa,I-ORG
8467,539,gryphus,O
6726,205,Fray,B-ORG
5292,2379,Pukañawi,B-PER
7355,324,",",O
1039,923,',O
2604,1852,-,O
13496,1532,Pallanchikpa,B-ORG
5433,2403,payqa,O
920,668,risirwa,I-ORG
1730,1672,distritu,I-LOC
4655,2252,Hisus,B-LOC
9267,699,',O
3867,2101,Hayt'ay,I-ORG
5729,10,m,O
8097,465,Kutupaksi,B-ORG
208,1766,",",O
2853,1896,PUSAPUNA,O
2587,1849,30px]],O
11331,1104,Pizarro,B-PER
5245,2369,Tiksi,I-PER
12504,1338,llaqta,I-ORG
6017,69,Zhao,B-PER
75,556,Kupa,I-ORG
3517,2032,Hayt'ay,I-ORG
2531,1838,Nieto,I-LOC
2397,1810,),O
1769,1681,distritu,I-LOC
3077,1937,Wasi,I-ORG
3192,1963,',O
6999,258,',O
3557,2040,(,O
1768,1681,Rusa,I-LOC
12320,1303,Yuyayyaku,B-LOC
5931,51,Inka,B-ORG
3210,1968,1985-1989,O
8485,543,P'allqa,B-LOC
12555,1349,.,O
7362,324,Ullantaytampu,B-LOC
1308,1401,PUSAPUNA,O
9093,665,mamallaqta,I-LOC
3543,2038,',O
9151,676,Puntifisya,I-ORG
11622,1164,Paqay,B-ORG
8470,540,suyu,I-LOC
333,1988,kitilli,I-LOC
4674,2254,Yachay,I-ORG
12280,1295,Qhichwa,B-ORG
5719,8,.,O
1903,1707,distritu,I-LOC
9938,839,llaqtanqa,I-LOC
4818,2284,Kupa,I-ORG
4830,2286,munisipyu,I-LOC
8646,574,.,O
9298,705,ñiqinpa,I-PER
7711,387,suyu,I-LOC
9921,836,Pakaqi,B-LOC
1402,1590,llaqta,I-LOC
13135,1464,Profesor,O
1609,1653,Pachantin,I-ORG
9349,716,1990,I-ORG
1392,1568,',O
432,2177,Llamk'aqkuna,I-ORG
2822,1890,Llaqtap,I-ORG
7537,356,Kunti,I-LOC
8634,572,Miroslav,B-PER
7487,347,(,I-LOC
7337,320,Juventus,B-ORG
2108,1749,.,O
11419,1122,Pachantin,I-ORG
10391,925,%,O
42,2343,pusapuna,O
6971,252,',O
7971,438,.,O
12304,1299,Mario,B-PER
12141,1270,.,O
10271,900,Umalliqmi,O
2976,1918,Hayt'ay,I-ORG
8782,602,2002,I-ORG
7215,297,Yachay,I-ORG
705,235,parki,I-ORG
8365,519,awqakuna,O
4008,2127,Araújo,I-PER
13464,1527,Qhipaqnin,O
9545,755,Dales,I-ORG
1213,1212,gigantea,O
13904,1616,.,O
10872,1015,',O
5205,2361,Llaqtap,I-ORG
6200,105,Jacobus,B-PER
13470,1527,interim,O
5326,2384,",",O
3253,1976,',O
112,1334,Berti,B-PER
133,1622,kancha,I-ORG
4348,2192,.,O
2457,1824,kaynin,I-ORG
1358,1501,2014,I-ORG
12924,1417,),O
8331,511,llaqta,I-ORG
8687,583,.,O
8469,540,Qhichwa,B-LOC
9757,802,suyu,I-ORG
7650,377,.,O
491,2310,Domingo,I-LOC
5136,2347,',O
12245,1287,pruwinsya,I-LOC
1328,1446,.,O
5117,2342,(,I-LOC
5894,43,Wallan,I-LOC
8648,574,Guillermo,B-PER
6421,145,Pachantin,I-ORG
13237,1482,Kalipuy,B-LOC
3940,2114,Yunkay,B-LOC
10710,983,.,O
7260,306,(,O
8920,630,Yoshihiko,B-PER
8622,569,distritu,I-LOC
4569,2237,.,O
7861,416,1990,I-ORG
9682,785,mama,I-ORG
10054,863,Llaqtap,I-ORG
3270,1981,Kunti,I-LOC
5562,2428,Uma,B-LOC
9889,828,ch'unqa,I-LOC
2104,1749,Jérôme,B-PER
11248,1087,llaqta,I-LOC
8395,525,Daniel,I-LOC
8007,444,.,O
4328,2189,mama,I-ORG
4431,2208,chuntu,I-ORG
13743,1583,.,O
2156,1760,runakunap,I-ORG
6745,208,Silva,I-PER
5162,2352,',O
10198,887,(,O
6522,164,llaqtam,O
3727,2076,Piluta,B-ORG
12083,1259,Ollanta,B-PER
12505,1338,parki,I-ORG
9500,746,',O
4652,2251,wari,I-ORG
7179,292,Q'awa,I-ORG
154,1666,distritu,I-LOC
12317,1302,Kits,I-LOC
183,1722,visco,O
6563,170,.,O
4424,2207,14,O
9380,721,mama,I-ORG
8134,473,Tarki,B-ORG
9797,810,",",O
10816,1005,),O
7454,340,Domingo,I-PER
10254,896,.,O
399,2110,Franco,B-PER
10231,895,[[Umurata,O
7394,330,Carlos,I-PER
8499,546,XVIII,I-PER
11045,1048,kamachiy,I-ORG
2894,1905,y,I-PER
5942,53,de,I-PER
7826,408,",",O
6211,106,mit'a,I-ORG
4026,2130,),I-PER
1028,901,Wamanqaqa,I-LOC
11808,1200,risirwa,I-LOC
10740,988,munisipyu,I-LOC
10941,1027,Salvador,B-PER
9115,671,Piruwanu,B-ORG
1696,1667,.,O
4869,2294,),O
96,1000,willkachasqa,I-LOC
11268,1092,Cruyff,I-PER
2346,1799,Podocarpus,B-ORG
11059,1051,sp,O
13537,1541,Pachakutiq,B-PER
2288,1786,Bolívarmantam,I-PER
11264,1091,2014,I-ORG
934,701,Wanta,B-LOC
6185,102,',O
1085,1001,kapuchkan,O
10300,907,quya,I-PER
7686,383,Edgardo,B-PER
12474,1331,Juan,I-LOC
1628,1656,),O
3310,1990,Hatun,B-LOC
6851,228,",",O
12793,1393,San,I-ORG
13264,1487,(,I-LOC
7419,336,Wankawillka,I-LOC
13201,1475,Bobby,B-PER
7951,433,'3,O
1810,1688,',O
716,257,',O
1284,1346,5,O
644,124,',O
13089,1452,Pachantin,I-ORG
6405,144,yaku,I-LOC
10678,977,.,O
3292,1985,Ch'uxña,B-LOC
1436,1621,Pachantin,I-ORG
12787,1392,Pachantin,I-ORG
11044,1048,Mana,B-ORG
11503,1139,amachasqa,I-ORG
8265,500,iskay,I-PER
8662,577,Covent,O
9196,684,),O
9732,797,Cajas,B-LOC
2677,1862,),O
6434,149,challwa,I-LOC
7412,333,Pachantin,I-ORG
140,1644,(,O
9488,743,suyu,I-LOC
9284,703,Wantar,B-LOC
2540,1840,mayu,I-LOC
3033,1929,Santo,B-PER
5471,2411,Kupa,I-ORG
3553,2039,.,O
5828,29,'Vultur,O
12517,1341,-,O
7869,418,3,O
8630,571,PUSAPUNA,O
5538,2423,",",O
1263,1301,),O
3738,2079,Augusta,B-LOC
4667,2253,Sunturnin,I-ORG
5171,2354,Pardo,I-PER
10249,896,.,O
2805,1886,Chullu,B-LOC
13386,1511,pruwinsya,I-LOC
3436,2017,--,O
10924,1024,pruwinsya,I-LOC
13321,1499,Chakamarka,B-ORG
7011,260,marka,I-LOC
12698,1377,Joseph,B-PER
1636,1658,Mana,B-ORG
8963,639,Francisco,B-PER
3965,2119,Antamarka,B-LOC
6152,94,(,O
8594,564,Cash,I-PER
10284,903,.,O
9573,762,suyu,I-LOC
11721,1186,',O
189,1733,',O
9138,674,Hayt'ay,I-ORG
3145,1952,',O
2919,1907,la,O
8438,533,Mama,B-ORG
8076,460,',O
1568,1646,',O
4344,2192,#¿NOMBRE?,O
7758,396,2002,I-ORG
10583,960,parki,I-ORG
6558,170,llaqtanqa,I-LOC
554,2421,sallqa,I-ORG
13569,1547,.,O
7338,320,FC,I-ORG
9988,850,Llaqtap,I-ORG
2662,1861,Friedrich,I-PER
5635,2444,),O
8015,448,',O
10500,946,en,O
6906,239,(,O
4916,2304,'Tinamotis,O
7981,439,Baeyer,I-PER
7299,314,Avilés,I-LOC
10701,982,',O
4847,2291,mama,I-ORG
4382,2198,8,O
3117,1947,Machu,B-LOC
7026,262,.,O
5480,2413,',O
10499,946,Escrito,O
10587,961,parki,I-ORG
3272,1981,",",O
13680,1570,Pampa,I-LOC
5229,2365,Pachantin,I-ORG
1561,1645,Sutisuyu,I-ORG
10911,1021,van,I-PER
5518,2419,spinosa,O
4820,2285,Chaypi,O
2661,1861,Georg,B-PER
2162,1761,',O
4853,2292,(,O
8831,611,Rodríguez,I-PER
6875,232,risirwa,I-ORG
6532,166,Francisco,B-PER
9849,820,Kupa,I-ORG
8304,506,Mallea,I-PER
12217,1283,nina,I-LOC
11215,1082,.,O
13462,1526,',O
10626,969,11,O
6220,107,Siq'isqa,B-PER
13629,1560,",",O
8548,554,(,O
5639,2445,),O
500,2321,spp,O
4156,2154,Piluta,B-ORG
3125,1948,.,O
7781,399,Plate,I-ORG
6930,243,Madidi,B-ORG
11296,1097,(,I-LOC
2168,1761,(,O
3321,1992,',O
1929,1714,Pachantin,I-ORG
13367,1508,Pultumarka,B-LOC
2130,1754,(,I-ORG
11492,1137,Tupaqsi,I-PER
12293,1297,``,I-LOC
13881,1611,llaqta,I-ORG
6292,121,Uma,B-LOC
13053,1442,Asway,I-LOC
12753,1385,amachasqa,I-ORG
1219,1235,Waraniyi,B-ORG
10530,951,PUSAPUNA,O
11458,1131,Piluta,B-ORG
12230,1285,'Azorella,O
11724,1187,suyu,I-LOC
1925,1713,Rimana,I-ORG
6724,204,Kupa,I-ORG
13568,1547,',O
5856,34,',O
12392,1317,Juan,B-PER
5095,2337,Hayt'ay,I-ORG
8811,607,Kupa,I-ORG
3653,2059,),O
10093,868,sutip,I-ORG
6731,205,llaqta,I-ORG
3043,1930,',O
11793,1197,Kupa,I-ORG
606,68,flora,I-ORG
11207,1080,Colletia,O
12279,1294,),I-LOC
8518,549,pruwinsya,I-LOC
11294,1097,Pulitika,I-LOC
2193,1767,Pachantin,I-ORG
13581,1550,Anti,B-LOC
11741,1187,Portillo,I-LOC
6443,151,Adolfo,B-PER
3636,2056,Kaqkunata,I-ORG
3203,1967,Santiago-Kumayna,B-ORG
213,1777,Mesut,B-PER
231,1811,de,I-PER
12262,1291,Kupa,I-ORG
12105,1262,Qhawanillas,B-LOC
4947,2309,',O
12309,1300,.,O
11219,1082,la,I-PER
12190,1278,.,O
3577,2045,Kupa,I-ORG
1494,1634,Chuqiyapu,B-LOC
13649,1564,.,O
5976,60,Harrison,I-PER
2784,1882,',O
8372,520,K'illichu,B-LOC
10943,1027,',O
8673,580,",",O
325,1977,Llaqtap,I-ORG
13080,1450,sutiyuqmantam,O
5869,38,San,B-LOC
2834,1892,marka,I-LOC
8074,460,Li,B-PER
221,1789,(,I-LOC
5760,17,),I-LOC
4352,2193,isqun,O
6664,191,colocolo,O
4885,2298,Piluta,B-ORG
7521,352,qillqakunapas,O
7749,394,Cervantes,I-PER
4483,2218,estudiadas,O
2825,1890,Abad,I-ORG
9821,815,llaqta,I-ORG
4996,2319,Kevin,B-PER
1199,1179,runakunatas,O
7580,365,Domingo,B-PER
7943,431,Cambridge,B-ORG
6784,216,.,O
4247,2172,Bárbara,I-LOC
4425,2207,',O
2790,1883,distritu,I-LOC
1121,1067,Thierry,B-PER
13604,1554,sutichasqa,O
12042,1251,X,I-PER
6862,230,Walla,I-LOC
2350,1801,Manqu,B-PER
11042,1047,yachan,O
12551,1349,',O
1102,1023,suyu,I-LOC
12970,1428,Manchester,B-LOC
2128,1754,Susyalismuman,B-ORG
3431,2016,Piluta,B-ORG
7091,276,Ch'umpi,B-LOC
1700,1668,6.025,O
10139,876,suyu,I-LOC
7567,362,Röntgen,I-PER
9226,691,Willkawaman,B-LOC
6670,192,1954,I-ORG
4037,2134,Ariqipa,B-LOC
10179,883,willkachasqa,I-ORG
9991,850,Abad,I-ORG
5830,29,',O
10466,938,(,O
390,2088,Antonio,B-PER
10277,902,',O
7312,316,José,B-PER
13752,1586,.,O
6960,249,takiq,I-PER
12972,1428,393,O
797,434,José,B-PER
13550,1543,Huwan,B-PER
10568,957,Paz,I-LOC
5841,31,2006,I-ORG
12389,1316,2014,I-ORG
3759,2083,llaqta,I-ORG
1279,1335,Ariqipa,I-LOC
1018,878,2,O
2753,1878,Alfredo,B-PER
6018,69,Ziyang,I-PER
1190,1168,5,O
8799,605,1954,I-ORG
4705,2261,Lawriqucha,B-LOC
1722,1671,Chrysocyon,O
11310,1101,Pumaqucha,B-LOC
24,1899,Waqaqpa,I-PER
9975,847,),O
3774,2086,",",O
7380,327,.,O
13473,1528,San,I-ORG
7119,280,',O
2110,1750,(,I-PER
8710,586,mama,I-ORG
1012,867,PUSAPUNA,O
2985,1920,wichay,I-LOC
2141,1757,mamallaqta,I-ORG
7939,430,",",O
242,1833,waska,I-ORG
1329,1446,',O
9956,842,.,O
4076,2140,Trichomycterus,O
5249,2370,kawsay,I-ORG
13559,1546,Piluta,B-ORG
13031,1438,distritu,I-LOC
4286,2180,1994,I-ORG
2483,1829,walla,I-ORG
5512,2418,.,O
9866,824,",",O
13408,1517,Punu,B-LOC
5438,2404,PUSAPUNA,O
2297,1787,.,O
10719,985,),O
8676,581,Wankana,B-LOC
10969,1032,-,O
10567,957,la,I-LOC
3306,1989,',O
9857,822,.,O
5436,2403,kamariqmi,O
3877,2103,Toribio,B-PER
7802,403,Secure,I-ORG
903,634,),O
7434,339,",",O
8637,572,12,O
2084,1745,Piluta,B-ORG
911,656,Pachantin,I-ORG
13269,1488,Pachantin,I-ORG
6155,94,),O
246,1833,/,O
9154,676,Suntur,I-ORG
3060,1935,Jaqhi,I-LOC
5804,23,Yachay,I-ORG
11228,1083,Celso,I-ORG
13518,1537,karum,O
6304,123,Pachantin,I-ORG
2368,1805,**,O
9645,777,2014,I-ORG
2121,1752,(,I-ORG
1384,1557,Oboe,O
13806,1597,.,O
7798,402,Mamallaqtap,I-ORG
5660,2449,>,O
4206,2164,(,O
3576,2045,Pachantin,I-ORG
5715,8,Mário,B-PER
13538,1541,Inka,I-PER
6420,145,Hayt'ay,I-ORG
3908,2108,),O
11402,1118,Tawantinsuyuman,B-ORG
2094,1747,",",O
6669,192,Kupa,I-ORG
13283,1492,Manuel,B-PER
3430,2015,Terry,I-PER
6489,159,Wanay,B-LOC
2725,1871,.,O
13477,1529,pusapuna,O
970,767,llaqta,I-ORG
11969,1234,Tarija,I-LOC
3269,1981,Buliwyap,B-LOC
4323,2187,suyu,I-LOC
13591,1551,.,O
8308,506,1921-1925,O
6146,93,.,O
7305,315,mama,I-ORG
11660,1172,parki,I-ORG
6342,132,Kupa,I-ORG
8364,519,Ispañamanta,B-LOC
8303,506,Saavedra,I-PER
2161,1761,clarinete,O
10439,931,.,O
10524,949,),O
9139,674,Pachantin,I-ORG
7128,282,',O
12200,1280,),O
10140,876,",",O
1421,1619,Ñit'isqa,B-ORG
13412,1517,distritu,I-ORG
9054,658,Chimpurasu,B-LOC
3474,2025,Sankay,B-ORG
1498,1634,pruwinsya,I-LOC
13279,1491,sach'a,I-LOC
3892,2105,Yachay,I-ORG
723,268,.,O
2547,1841,Wamanqapi,B-ORG
11960,1232,Asway,B-LOC
5548,2425,Rodríguez,I-PER
9961,843,.,O
9958,843,Bergomi,I-PER
9681,785,qucha,I-ORG
13736,1582,Kupa,I-ORG
2989,1920,Guarayos,O
6725,204,1994,I-ORG
7049,267,Macau,B-LOC
8419,529,Yachay,I-ORG
1320,1423,Yashin,I-PER
6123,88,Roberto,B-PER
2290,1786,.,O
10165,880,),O
9489,743,",",O
2280,1784,Perón,I-PER
737,312,',O
13633,1561,',O
10566,957,de,I-LOC
12276,1294,Kashapampa,B-LOC
3830,2095,munisipyu,I-LOC
1667,1662,3,O
5486,2414,Yatana,B-ORG
7689,383,',O
1657,1661,Châtelier,I-PER
2003,1727,Urasuyu,B-LOC
12683,1375,Menéndez,I-PER
11095,1059,PUSAPUNA,O
13536,1541,PUSAPUNA,O
8335,513,quya,I-PER
13382,1510,Mateo,I-LOC
4755,2271,Wallqa,B-LOC
10364,919,Tecnológica,I-ORG
1172,1135,",",O
3559,2040,),O
6045,74,Romaña,I-PER
27,1899,.,O
1311,1401,Méndez,I-LOC
4594,2241,PUSAPUNA,O
4083,2141,Kashapampa,B-LOC
5680,2452,(,O
3747,2081,Pachantin,I-ORG
4963,2313,Vivanco,I-PER
945,723,Ronald,I-PER
8445,533,.,O
6375,139,Chuqiyapu,B-LOC
3762,2083,.,O
4595,2241,Inkamach'ay,B-LOC
9015,650,),O
13021,1437,mama,I-LOC
2975,1918,Piluta,B-ORG
12525,1343,John,B-PER
11139,1068,Galdós,I-PER
9833,817,",",O
1128,1078,munisipyu,I-LOC
13429,1520,Aqupampa,B-LOC
6801,218,),I-LOC
4122,2149,.,O
1787,1684,Cajas,B-LOC
11499,1138,Sawaya,I-LOC
5067,2333,Pachakutik,B-ORG
7697,385,distritu,I-LOC
12862,1405,.,O
2405,1813,hoz,O
12534,1345,La,B-LOC
3079,1937,Wakichikunankupaq,I-ORG
2709,1868,Solano,I-PER
3678,2064,Chiloé,B-ORG
4049,2136,Kupa,I-ORG
6621,183,Obama,I-PER
5272,2374,Iglesias,I-PER
8534,551,),I-LOC
1606,1652,),O
7468,343,Pawlu,B-PER
13001,1432,),O
8214,489,-,O
4610,2243,',O
13557,1544,Quri,I-LOC
13485,1529,),I-LOC
5410,2400,Tomás,I-PER
12718,1381,Dino,B-PER
5936,52,Climinti,B-PER
11790,1197,Piluta,B-ORG
2733,1872,distritu,I-LOC
7669,380,',O
11151,1070,),I-LOC
5796,22,),I-LOC
13681,1570,willkachasqa,I-LOC
10131,874,Hatun,I-ORG
9861,822,',O
458,2233,),I-LOC
3452,2019,Uruwayi,B-LOC
7842,413,Chaypi,O
4361,2194,Martín,I-PER
11886,1217,Tukuy,B-ORG
1158,1113,pisqu,I-LOC
8342,515,Walla,I-LOC
8210,488,Yachay,I-ORG
2408,1814,.,O
12390,1317,.,O
10723,985,),O
3277,1982,(,O
5232,2367,Lan,B-LOC
8869,620,Eva,I-PER
4760,2271,),O
7734,391,Qullqa,I-ORG
7598,367,),O
8858,618,PUSAPUNA,O
10183,884,mama,I-ORG
11012,1041,Qusqu,B-LOC
8487,543,(,I-LOC
11593,1158,),I-PER
10003,851,Uqshapampa,B-LOC
576,2,.,O
3329,1993,.,O
11652,1171,Jaqhi,I-LOC
9148,675,Kachachi,B-LOC
4736,2268,Pachantin,I-ORG
9638,776,XIII,I-PER
232,1811,Sucre,I-PER
8843,615,Hermann,B-PER
8558,555,",",O
661,168,pusapuna,O
533,2377,',O
11378,1115,(,O
6546,169,',O
779,401,(,O
7360,324,pruwinsya,I-LOC
11531,1144,-,O
7469,343,V,I-PER
540,2388,Belanov,I-PER
9641,777,Piluta,B-ORG
4747,2269,',O
660,157,Partidu,I-ORG
4421,2206,.,O
8953,636,Wasin,I-ORG
1719,1671,.,O
2080,1743,distritu,I-LOC
10265,899,Kupa,I-ORG
10109,870,Apulupampa,I-LOC
3320,1992,suyu,I-LOC
1582,1648,(,O
1283,1346,-,O
7653,378,S,O
12368,1311,suyu,I-LOC
3283,1983,Rafael,I-ORG
7936,430,Franz,B-LOC
12299,1298,llaqtamantaqa,O
2463,1826,.,O
13852,1606,Hayt'ay,I-ORG
7384,328,sp,O
4312,2185,1970,I-ORG
10937,1026,purin,O
3487,2027,Prado,I-PER
7100,276,``,O
11110,1062,Purus,I-ORG
12726,1382,(,O
1391,1568,),O
1141,1089,",",O
6085,81,Antikuna,B-LOC
12716,1380,Buliwya,I-LOC
10359,918,Sunturnin,I-ORG
5844,32,Pachantin,I-ORG
11368,1110,Ollanta,B-PER
5926,50,IX,I-PER
13666,1566,",",O
9734,797,llaqta,I-LOC
8471,540,-,O
12930,1419,25px,O
4347,2192,kamayuq,I-PER
12338,1306,PUSAPUNA,O
5675,2451,Mamallaqtapura,B-ORG
2504,1834,',O
5277,2375,Walla,I-LOC
3894,2106,Chilipi,B-ORG
3828,2095,",",O
13813,1598,Hayt'ay,I-ORG
5742,14,Pulitika,I-LOC
12420,1320,chilensis,O
11537,1145,parki,I-ORG
3339,1995,Hayt'ay,I-ORG
5948,54,',I-LOC
13064,1444,distritu,I-LOC
8316,508,mama,I-ORG
6214,106,nisqap,O
5557,2427,',O
9707,791,',O
3852,2097,guarahuau,O
11835,1206,T'uru,B-ORG
11046,1048,tantanakuy,I-ORG
12439,1325,',O
2794,1884,de,I-PER
10987,1036,gryphus,O
305,1944,Ispaña,I-LOC
13350,1505,Rimana,I-ORG
5430,2403,sutichaypa,O
3698,2069,Pachantin,I-ORG
5494,2416,José,B-PER
13068,1447,Kupa,I-ORG
4130,2150,',O
5065,2331,',O
2755,1878,Stéfano,I-PER
2261,1780,mamallaqta,I-ORG
4437,2211,distritu,I-LOC
7710,387,Anqash,B-LOC
515,2344,),O
3920,2111,mamallaqta,I-ORG
9367,719,Wachun,B-LOC
1238,1257,',O
12391,1317,',O
9728,796,PUSAPUNA,O
3772,2086,Punu,B-LOC
3921,2111,wari,I-ORG
5192,2359,',O
4593,2240,),O
602,57,(,I-LOC
1464,1627,yupaychana,O
3616,2052,sallqa,I-ORG
11897,1219,PUSAPUNA,O
12687,1376,m,O
2584,1848,Theatre]],O
5189,2358,',O
7778,398,',O
8123,471,Johann,B-PER
2152,1759,Pachantin,I-ORG
2059,1738,.,O
731,290,Kupa,I-ORG
5933,51,),O
6352,134,.,O
11842,1207,),I-LOC
9746,799,Suyukunapi,I-LOC
3623,2054,***,O
7145,285,Pachantin,I-ORG
11747,1188,1998,I-ORG
10781,997,Miguel,I-LOC
4237,2171,GP,B-LOC
10413,926,),O
6306,123,1998,I-ORG
7881,421,Piluta,B-ORG
8275,503,AS,B-ORG
12740,1383,Doctor,O
10791,998,.,O
1154,1100,Umallqmi,O
11494,1137,.,O
13207,1476,llaqtapi,O
5309,2381,',O
754,346,Kupa,I-ORG
7444,339,Friedrich,I-PER
8236,495,Jugador,O
10245,895,5.99,O
3699,2069,Kupa,I-ORG
4368,2196,Florianópolis,B-LOC
13099,1454,.,O
8376,521,Tupaq,B-PER
11995,1241,Moore,I-PER
357,2033,.,O
13446,1524,Qun,B-PER
1268,1312,),O
6432,149,Warmi,B-LOC
5275,2375,pusapuna,O
8807,606,.,O
11744,1188,Hayt'ay,I-ORG
9244,694,Hayt'ay,I-ORG
6641,186,),O
244,1833,Mushupa,O
